user_id;child_id;role;access_level;created_at
USR-FAM-001;CH-001;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-002;CH-002;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-003;CH-003;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-004;CH-004;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-005;CH-005;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-006;CH-006;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-007;CH-007;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-008;CH-008;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-009;CH-009;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-010;CH-010;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-011;CH-011;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-FAM-012;CH-012;FAMILY;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-001;CH-001;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-001;CH-002;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-002;CH-003;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-002;CH-004;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-003;CH-005;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-003;CH-006;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-004;CH-007;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-004;CH-008;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-005;CH-009;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-005;CH-010;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-006;CH-011;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-EDU-006;CH-012;EDUCATION;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-001;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-002;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-003;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-004;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-005;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-006;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-007;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-008;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-009;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-010;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-011;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-001;CH-012;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-001;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-002;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-003;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-004;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-005;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-006;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-007;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-008;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-009;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-010;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-011;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-002;CH-012;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-001;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-002;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-003;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-004;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-005;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-006;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-007;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-008;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-009;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-010;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-011;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-003;CH-012;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-001;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-002;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-003;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-004;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-005;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-006;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-007;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-008;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-009;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-010;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-011;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-004;CH-012;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-001;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-002;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-003;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-004;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-005;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-006;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-007;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-008;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-009;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-010;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-011;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
USR-PRO-005;CH-012;PROFESSIONAL;WRITE;2026-04-25T12:00:00-04:00
